age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,latitude,longitude,street_id,street_name,outcome_id,outcome_name
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-09T16:24:00+00:00,,False,Black,Person search,,Controlled drugs,51.499042,-0.111930,1680867,On or near Lambeth North,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-09T23:15:00+00:00,,False,Black,Person and Vehicle search,,Controlled drugs,51.499692,-0.114266,1680405,On or near Westminster Bridge Road,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-09T23:10:00+00:00,,False,Black,Person and Vehicle search,,Controlled drugs,51.499692,-0.114266,1680405,On or near Westminster Bridge Road,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-09T23:10:00+00:00,,False,Black,Person and Vehicle search,,Controlled drugs,51.499692,-0.114266,1680405,On or near Westminster Bridge Road,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-10T05:22:00+00:00,,False,White,Person search,,Evidence of offences under the Act,51.499042,-0.111930,1680867,On or near Lambeth North,bu-arrest,Arrest
10-17,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-19T18:09:00+00:00,,False,White,Person search,,Stolen goods,51.502663,-0.113423,1680404,On or near London Waterloo,bu-arrest,Arrest
18-24,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-19T18:09:00+00:00,,False,White,Person search,,Stolen goods,51.502663,-0.113423,1680404,On or near London Waterloo,bu-arrest,Arrest
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-29T00:30:00+00:00,,False,Black,Person search,,Evidence of offences under the Act,51.506090,-0.114593,1680316,On or near A301,bu-no-further-action,A no further action disposal
25-34,Penalty Notice for Disorder,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-22T05:35:00+00:00,,False,Black,Person search,,Offensive weapons,51.495757,-0.114501,1680330,On or near A3203,bu-penalty-notice,Penalty Notice for Disorder
25-34,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-22T05:35:00+00:00,,False,Black,Person search,,Stolen goods,51.495757,-0.114501,1680330,On or near A3203,bu-no-further-action,A no further action disposal
25-34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-22T05:40:00+00:00,,False,Black,Person search,,Offensive weapons,51.495757,-0.114501,1680330,On or near A3203,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-23T05:45:00+00:00,,False,Other,Person search,,Controlled drugs,51.502888,-0.117319,1679979,On or near Chicheley Street,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-22T16:00:00+00:00,,False,Black,Person search,,Stolen goods,51.498772,-0.104666,1682212,On or near A3202,bu-no-further-action,A no further action disposal
over 34,Arrest,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-23T17:55:00+00:00,,False,Asian,Person and Vehicle search,,Controlled drugs,51.501162,-0.116252,1680084,On or near Addington Street,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Any other ethnic group,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-25T12:25:00+00:00,,False,White,Person search,,Evidence of offences under the Act,51.500978,-0.125524,1678704,On or near Bridge Street,bu-no-further-action,A no further action disposal
10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-27T02:30:00+00:00,,False,White,Person search,,Stolen goods,51.503685,-0.119346,1679036,On or near Ferry Terminal,bu-no-further-action,A no further action disposal
10-17,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-27T01:40:00+00:00,,False,Black,Person search,,Stolen goods,51.499042,-0.111930,1680867,On or near Lambeth North,bu-arrest,Arrest
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-27T01:45:00+00:00,,False,Black,Person search,,Stolen goods,51.499042,-0.111930,1680867,On or near Lambeth North,bu-no-further-action,A no further action disposal
10-17,Arrest,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-26T19:20:00+00:00,,False,Black,Person search,,Offensive weapons,51.502823,-0.119257,1679478,On or near Theme/Adventure Park,bu-arrest,Arrest
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-26T18:59:00+00:00,,False,Black,Person search,,Stolen goods,51.502823,-0.119257,1679478,On or near Theme/Adventure Park,bu-no-further-action,A no further action disposal
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-27T12:07:00+00:00,,False,White,Person search,,Controlled drugs,51.507648,-0.108548,1681479,On or near Broadwall,bu-community-resolution,Community resolution
25-34,Arrest,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-27T11:58:00+00:00,,False,White,Person and Vehicle search,,,51.499488,-0.118410,1679222,On or near Hospital,bu-arrest,Arrest
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-19T22:00:00+00:00,,False,Black,Person search,,Offensive weapons,51.499488,-0.118410,1679222,On or near Hospital,bu-arrest,Arrest
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-29T00:36:00+00:00,,False,White,Person search,,Stolen goods,51.506090,-0.114593,1680316,On or near A301,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-29T00:38:00+00:00,,False,Black,Person search,,Stolen goods,51.506090,-0.114593,1680316,On or near A301,bu-no-further-action,A no further action disposal
18-24,Arrest,True,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-19T01:58:00+00:00,,False,Black,Person search,,Offensive weapons,51.499488,-0.118410,1679222,On or near Hospital,bu-arrest,Arrest
10-17,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-26T19:30:00+00:00,,False,Black,Person search,,Stolen goods,51.503685,-0.119346,1679036,On or near Ferry Terminal,bu-no-further-action,A no further action disposal
,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-30T17:30:00+00:00,,False,Black,Person search,,Offensive weapons,51.502663,-0.113423,1680404,On or near London Waterloo,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-01T00:10:00+00:00,,False,Asian,Person and Vehicle search,,Controlled drugs,51.500608,-0.108091,1681635,On or near Gray Street,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2024-01-01T00:15:00+00:00,,False,White,Person search,,Controlled drugs,51.500608,-0.108091,1681635,On or near Gray Street,bu-no-further-action,A no further action disposal
over 34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-01T01:25:00+00:00,,False,Other,Person search,,Stolen goods,51.498284,-0.110074,1681059,On or near A302,bu-no-further-action,A no further action disposal
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-02T23:30:00+00:00,,False,Black,Person search,,Stolen goods,51.500608,-0.108091,1681635,On or near Gray Street,bu-no-further-action,A no further action disposal
over 34,Arrest,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-03T09:32:00+00:00,,False,White,Person search,,Stolen goods,51.498772,-0.104666,1682212,On or near A3202,bu-arrest,Arrest
10-17,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-03T16:15:00+00:00,,False,Black,Person search,,Stolen goods,51.501715,-0.105392,1682099,On or near Conference/Exhibition Centre,bu-arrest,Arrest
10-17,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-03T16:23:00+00:00,,False,Black,Person search,,Stolen goods,51.502207,-0.101843,1682628,On or near Pocock Street,bu-arrest,Arrest
10-17,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-03T16:25:00+00:00,,False,Black,Person search,,Stolen goods,51.501715,-0.105392,1682099,On or near Conference/Exhibition Centre,bu-arrest,Arrest
10-17,Arrest,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-03T16:15:00+00:00,,False,Black,Person search,,Stolen goods,51.502340,-0.103379,1682123,On or near Surrey Row,bu-arrest,Arrest
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-03T16:32:00+00:00,,False,White,Person search,,Stolen goods,51.502340,-0.103379,1682123,On or near Surrey Row,bu-no-further-action,A no further action disposal
18-24,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-02T12:32:00+00:00,,False,Black,Person and Vehicle search,,Offensive weapons,51.498772,-0.104666,1682212,On or near A3202,bu-arrest,Arrest
18-24,Community resolution,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2024-01-17T20:26:00+00:00,,False,White,Person and Vehicle search,,Stolen goods,51.498611,-0.104716,1682045,On or near St George'S Circus,bu-community-resolution,Community resolution
25-34,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-19T18:11:00+00:00,,False,Other,Person and Vehicle search,,Controlled drugs,51.507177,-0.095470,1683657,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
25-34,A no further action disposal,True,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),,2024-01-19T15:43:00+00:00,,False,Asian,Person and Vehicle search,,Controlled drugs,51.507177,-0.095470,1683657,On or near Theatre/Concert Hall,bu-no-further-action,A no further action disposal
